ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  360000         0.0000         0.0000         0.0000         0.0000          -5581.2148       388.2828         0.0000         0.0000       918.5089          -4274.4231       291.8022     -5192.9320     -4273.0643       296.0609           -252.4958      -236.5136     22836.4978      -254.8104      -254.7174
ENERGY:  365000         0.0000         0.0000         0.0000         0.0000          -5573.5679       372.2062         0.0000         0.0000       985.7140          -4215.6477       313.1527     -5201.3618     -4213.6627       304.0398           -782.1437      -754.2125     22825.8348      -208.3625      -208.3843
ENERGY:  370000         0.0000         0.0000         0.0000         0.0000          -5591.5427       380.4383         0.0000         0.0000       947.2437          -4263.8607       300.9310     -5211.1044     -4260.5874       300.1869           -189.0038      -175.6765     22668.9546      -143.7711      -143.7095
ENERGY:  375000         0.0000         0.0000         0.0000         0.0000          -5610.7133       395.3658         0.0000         0.0000       961.2836          -4254.0640       305.3913     -5215.3475     -4253.1366       300.6882             -3.6597        20.0061     22533.9692      -237.0937      -237.2187
ENERGY:  380000         0.0000         0.0000         0.0000         0.0000          -5599.6743       369.4814         0.0000         0.0000       965.6197          -4264.5732       306.7689     -5230.1928     -4262.9770       299.9973           -325.8521      -298.9972     22476.2455      -203.9580      -204.0206
ENERGY:  385000         0.0000         0.0000         0.0000         0.0000          -5578.9551       375.2911         0.0000         0.0000       942.5386          -4261.1253       299.4362     -5203.6640     -4258.3527       297.1001           -259.8699      -250.8847     22559.9468      -205.2781      -205.4249
ENERGY:  390000         0.0000         0.0000         0.0000         0.0000          -5551.6943       389.1955         0.0000         0.0000       967.2982          -4195.2005       307.3021     -5162.4987     -4192.5026       306.2796            -66.6205       -37.8822     22733.4751      -228.7411      -228.6158
ENERGY:  395000         0.0000         0.0000         0.0000         0.0000          -5580.9762       390.9192         0.0000         0.0000      1005.5771          -4184.4800       319.4630     -5190.0571     -4182.1979       305.0016           -335.6325      -298.5019     22819.3073      -288.8225      -289.0178
ENERGY:  400000         0.0000         0.0000         0.0000         0.0000          -5608.8216       417.8635         0.0000         0.0000       916.1721          -4274.7859       291.0598     -5190.9581     -4271.7707       301.4072            109.8993       136.3878     22672.5279      -203.3960      -203.4012
ENERGY:  405000         0.0000         0.0000         0.0000         0.0000          -5611.5684       401.2726         0.0000         0.0000       923.0024          -4287.2934       293.2298     -5210.2958     -4286.4471       294.6046           -257.4936      -237.1315     22793.8692      -245.9234      -245.9457
ENERGY:  410000         0.0000         0.0000         0.0000         0.0000          -5629.0041       403.0669         0.0000         0.0000       969.3774          -4256.5597       307.9627     -5225.9371     -4254.3393       299.7198           -275.8577      -266.4175     22945.3421      -239.5815      -239.3976
ENERGY:  415000         0.0000         0.0000         0.0000         0.0000          -5514.0848       358.0503         0.0000         0.0000       968.0902          -4187.9443       307.5537     -5156.0344     -4185.8536       302.5457           -485.5353      -468.5849     22770.0789      -196.6696      -196.7808
ENERGY:  420000         0.0000         0.0000         0.0000         0.0000          -5689.8842       439.2774         0.0000         0.0000       930.6975          -4319.9093       295.6744     -5250.6068     -4317.0321       297.7947             27.9012        55.8043     22678.2929      -112.2333      -112.3175
ENERGY:  425000         0.0000         0.0000         0.0000         0.0000          -5678.3564       450.9712         0.0000         0.0000       956.8256          -4270.5596       303.9751     -5227.3852     -4268.8662       300.0448            140.9098       160.4133     22949.0348      -253.3621      -253.5518
ENERGY:  430000         0.0000         0.0000         0.0000         0.0000          -5580.5970       358.1641         0.0000         0.0000       928.1231          -4294.3098       294.8566     -5222.4328     -4293.0805       299.8442           -816.9003      -811.7008     22996.6082      -180.7828      -180.7577
ENERGY:  435000         0.0000         0.0000         0.0000         0.0000          -5484.1868       350.4155         0.0000         0.0000       937.3848          -4196.3865       297.7989     -5133.7713     -4194.5732       297.4422           -507.8970      -476.8613     22730.4603      -246.6672      -246.6949
ENERGY:  440000         0.0000         0.0000         0.0000         0.0000          -5568.6367       356.9216         0.0000         0.0000       955.6096          -4256.1054       303.5888     -5211.7150     -4254.5455       299.8416           -612.3121      -597.2074     22674.2411      -262.1506      -261.8977
